StudentID,Firstname,Lastname,Email,SurveyCohort,ClassStanding,NewStudEntryType,Phone,In_OutState,StudentPermCity,StudentPermState,StudentPermZipcode,Gender,Race,BirthYear,International,HSGradYear,YrFirstMatriculated,SATVerbal,SATWriting,SATMath,ACTComposite,ACTEnglish,ACTMath,ACTReading,ACTScience,EntranceScore,HSGPA,HSPerRank,StudentMotherEdLevel,StudentFatherEdLevel,StudentNumHS,StudentNumDependents,StudentAthlete,StudentResidence,StudentMilitary,PreFallTermCumGPA,PreFallTermCredits,PreFallTermRemCred,PreFallTermTotCredit
20152161N,Brian,Hollamon,Brian.Hollamon@2015-northstate.edu,1,0,0,555-222-4008,0,Kansas City,MO,64133,0,7,1995,0,2013,2013,,,,23,21,20,24,25,6,2.6,61,2,2,0,0,0,0,0,,15,,0
20152230N,Rulon,Skolnik,Rulon.Skolnik@2015-northstate.edu,1,0,0,555-222-4010,0,Conception Junction,MO,64434,0,7,1988,0,2008,2013,430,430,570,,,,,,5,3.55,23,2,1,0,0,0,0,0,,15,0,
20152683N,Brent,Ball,Brent.Ball@2015-northstate.edu,1,0,0,555-222-6121,0,Brighton,MO,65617,0,7,1994,0,2013,2013,520,520,600,,,,,,6,3.65,13,3,3,0,,0,0,0,,15,,
20151039N,Corey,Skiles,Corey.Skiles@2015-northstate.edu,1,0,0,555-222-4203,0,Hermann,MO,65041,0,8,1991,0,2009,2013,600,620,480,,,,,,6,2.79,55,3,3,0,0,0,0,0,,13,,21
20151210N,Matthew,Logan,Matthew.Logan@2015-northstate.edu,1,0,0,555-222-4206,0,Foristell,MO,63348,0,5,1995,0,2013,2013,380,430,410,17,15,16,17,18,3,3.4,16,0,0,0,,0,0,0,,12,,65
20152173N,Derek,Sharber,Derek.Sharber@2015-northstate.edu,1,0,0,555-222-4046,0,Silex,MO,63377,0,5,1994,0,2013,2013,,,,15,14,14,15,16,3,2.88,61,0,1,0,0,0,0,0,,16,3,
20151879N,Jacob,Brown,Jacob.Brown@2015-northstate.edu,1,0,0,555-222-4050,0,Columbia,MO,65299,0,7,1995,0,2013,2013,380,370,400,17,13,18,20,18,3,3.18,47,0,1,0,,0,0,0,,11,2,
20151987N,Jeffrey,Breschert,Jeffrey.Brescher@2015-northstate.edu,1,0,0,555-222-4202,0,Appleton City,MO,64724,0,7,1995,0,2013,2013,440,430,420,,,,,,3,3.23,36,0,0,0,0,0,0,0,2.9,13,3,9
20151990N,Ethan,Soza,Ethan.Soza@2015-northstate.edu,1,0,0,555-222-4052,1,Onaga,KS,66521,0,7,1994,0,2013,2013,,,,18,16,17,19,18,4,3.06,39,0,0,0,0,0,0,0,,15,,3
20152053N,William,Sheridan,William.Sheridan@2015-northstate.edu,1,0,0,555-222-4043,0,Lilbourn,MO,63862,0,7,1995,0,2013,2013,,,,30,29,27,29,33,8,4,19,3,4,0,0,0,0,0,,14,,0
20152158N,Eric,Sheffet,Eric.Sheffet@2015-northstate.edu,1,0,0,555-222-4266,0,Hughesville,MO,65334,0,7,1992,0,2011,2013,,,,21,21,21,23,19,5,3,46,1,3,0,0,0,0,0,,14,,55
20152185N,Benjamin,Humble,Benjamin.Humble@2015-northstate.edu,1,0,0,555-222-4009,1,Edmond,OK,73013,0,7,1994,0,2013,2013,,,,19,17,17,19,22,4,2.52,71,0,2,0,0,0,0,0,,16,,0
20152305N,Vincent,Mathis,Vincent.Mathis@2015-northstate.edu,1,0,0,555-222-4160,1,Little Rock,AR,72206,0,7,1995,0,2013,2013,600,610,630,25,29,27,23,22,7,4,1,3,3,0,0,0,0,0,,15,,0
20152398N,Joshua,Mccarty,Joshua.Mccarty@2015-northstate.edu,1,0,0,555-222-4050,0,Green Ridge,MO,65332,0,7,1995,0,2013,2013,,340,290,15,11,16,14,17,3,3.3,25,0,1,0,0,0,0,0,,15,,0
20152602N,Justin,Britt,Justin.Britt@2015-northstate.edu,1,0,1,555-222-4214,0,King City,MO,64463,0,7,1994,0,2013,2013,490,420,420,22,20,22,26,19,5,3.34,38,3,0,0,,0,0,0,,12,,
20151792N,David,Rodriguez,David.Rodriguez@2015-northstate.edu,1,0,0,555-222-4213,0,Dixon,MO,65459,0,2,1995,0,2013,2013,360,310,380,,,,,,2,2.86,17,2,0,0,,0,0,0,,13,2,
20151213N,Myles,Sojka,Myles.Sojka@2015-northstate.edu,1,0,0,555-222-4041,0,Brighton,MO,65617,0,4,1995,0,2013,2013,,,,19,15,24,,21,4,3.43,25,0,99,1,0,0,0,0,,15.5,,0
20151084N,Christopher,Holliday,Christopher.Holliday@2015-northstate.edu,1,0,0,555-222-4104,0,Forsyth,MO,65653,0,5,1994,0,2013,2013,,,,14,16,17,12,11,2,2.72,52,1,3,0,0,0,0,0,,16,,
20151768N,Javier,Buchanan,Javier.Buchanan@2015-northstate.edu,1,0,0,555-222-4040,1,Edmond,OK,73003,0,5,1993,0,2013,2013,,,,12,10,14,12,11,1,3.23,26,1,0,0,0,0,0,0,,15,3,
20152266N,Cody,Leach,Cody.Leach@2015-northstate.edu,1,0,0,555-222-4048,0,Couch,MO,65690,0,5,1995,0,2013,2013,500,420,480,,,,,,5,2.74,53,0,0,0,0,0,0,0,,17,0,
20151171N,Carlos,Talhelm,Carlos.Talhelm@2015-northstate.edu,1,0,0,555-222-4042,1,Minneapolis,MN,55431,0,7,1995,0,2013,2013,,,,19,18,19,,20,4,2.64,67,2,3,0,0,0,0,0,,14.5,,0
20151174N,Dylan,Nomina,Dylan.Nomina@2015-northstate.edu,1,0,0,555-222-4039,0,Glencoe,MO,63038,0,7,1995,0,2013,2013,,,,28,28,26,,29,8,2.99,49,5,5,0,0,0,0,0,,16.5,,12
20151348N,Austin,Hatuka,Austin.Hatuka@2015-northstate.edu,1,0,0,555-222-4043,0,Saint Louis,MO,63102,0,7,1994,0,2013,2013,500,460,450,,,,,,4,2.49,67,0,2,0,0,0,0,0,,14,,
20151639N,Joseph,Ford,Joseph.Ford@2015-northstate.edu,1,0,0,555-222-4046,0,Zalma,MO,63787,0,7,1994,0,2013,2013,,,,32,33,26,35,34,9,3.28,39,5,5,0,0,0,0,0,,16,,0
20151684N,Colby,Hansen,Colby.Hansen@2015-northstate.edu,1,0,0,555-222-4112,0,Frohna,MO,63748,0,7,1995,0,2013,2013,510,450,530,,,,,,5,2.74,57,1,1,0,0,0,0,0,,15,,12
20151795N,Evan,Ransone,Evan.Ransone@2015-northstate.edu,1,0,0,555-222-4048,0,Wayland,MO,63472,0,7,1995,0,2013,2013,,,,28,28,25,33,27,8,3.07,42,1,1,0,0,0,0,0,,14,,15
20151819N,Ian,Hayhow,Ian.Hayhow@2015-northstate.edu,1,0,0,555-222-4011,0,Sainte Genevieve,MO,63670,0,7,1995,0,2013,2013,400,470,630,,,,,,5,3.18,36,2,3,0,0,0,0,0,,15,,
20151921N,Alexander,Sentonoi,Alexander.Sentonoi@2015-northstate.edu,1,0,0,555-222-4013,0,Philadelphia,MO,63463,0,7,1994,0,2013,2013,,,,19,16,18,24,17,4,2.26,80,2,0,0,0,0,0,0,,14,,
20152101N,Hugh,Dolezal,Hugh.Dolezal@2015-northstate.edu,1,0,0,555-222-4044,0,Doniphan,MO,63935,0,7,1995,0,2013,2013,470,470,570,21,20,21,23,21,5,3.15,47,3,4,0,0,0,0,0,,16,,0
20152170N,Ethan,Ackerson,Ethan.Ackerson@2015-northstate.edu,1,0,0,555-222-4207,1,Oklahoma City,OK,73162,0,7,1995,0,2013,2013,,,,20,18,25,16,20,5,3.06,43,2,4,0,,0,0,0,,16,,0
20152239N,David,Schafer,David.Schafer@2015-northstate.edu,1,0,0,555-222-4001,0,Williamsville,MO,63967,0,7,1994,0,2013,2013,,,,21,19,24,20,21,5,2.88,37,3,3,0,0,0,0,0,,15,,0
20152284N,Joseph,Willey,Joseph.Willey@2015-northstate.edu,1,0,0,555-222-4075,0,Saint Louis,MO,63136,0,7,1994,0,2013,2013,360,320,450,,,,,,3,3.28,39,4,0,0,0,0,0,0,,15,,
20152329N,Darryl,Hansel,Darryl.Hansel@2015-northstate.edu,1,0,0,555-222-4049,0,Pevely,MO,63070,0,7,1994,0,2013,2013,520,560,450,23,23,24,25,21,6,2.86,33,4,3,0,0,0,0,0,,15,,
20152578N,Steven,Bowles,Steven.Bowles@2015-northstate.edu,1,0,1,555-222-4273,0,Marionville,MO,65705,0,7,1994,0,2013,2013,510,450,490,,,,,,5,3.73,16,2,2,1,,0,0,0,1.82,15,,7
20152605N,Jason,Barton,Jason.Barton@2015-northstate.edu,1,0,1,555-222-4053,1,Junction City,KS,66441,0,7,1993,0,2011,2013,640,600,640,,,,,,7,3.21,42,4,0,0,0,0,0,0,,17,0,44
20152689N,Franklin,Boyd,Franklin.Boyd@2015-northstate.edu,1,0,0,555-222-6124,0,Hermitage,MO,65668,0,7,1994,0,2013,2013,620,600,570,,,,,,7,3.87,8,2,3,0,,0,0,0,,15,,
20151981N,Jake,Odde,Jake.Odde@2015-northstate.edu,1,0,0,555-222-4102,0,Roby,MO,65557,0,2,1995,0,2013,2013,,,,18,20,16,19,17,4,3.18,36,2,4,0,0,0,0,0,,15,,0
20152629N,Adam,Rohrabaugh,Adam.Rohrabaugh@2015-northstate.edu,1,0,1,555-222-4173,0,Thayer,MO,65791,0,5,1994,0,2013,2013,590,590,520,28,29,25,31,26,8,2.07,79,0,5,1,,0,0,0,,12,,
20151000N,Reginald,James,Reginald.James@2015-northstate.edu,1,0,0,555-222-4162,1,Leonardville,KS,66449,0,7,1995,0,2013,2013,,,,25,24,22,30,24,7,3.5,33,3,3,0,0,0,0,0,,14,,31
20151530N,Christopher,Norblade,Christopher.Norblade@2015-northstate.edu,1,0,0,555-222-4045,0,Emden,MO,63439,0,7,1994,0,2013,2013,490,470,480,,,,,,5,2.72,59,3,0,0,0,0,0,0,,15,3,
20152176N,David,Livingston,David.Livingston@2015-northstate.edu,1,0,0,555-222-4082,0,Smithton,MO,65350,0,7,1995,0,2013,2013,540,440,480,,,,,,5,2.88,24,3,0,0,,0,0,0,,16,0,
20152209N,Casey,Dennis,Casey.Dennis@2015-northstate.edu,1,0,0,555-222-4047,0,Koeltztown,MO,65048,0,7,1995,0,2013,2013,480,480,450,,,,,,4,2.66,74,0,0,2,0,0,0,0,,11,2,
20152422N,Tanner,Appleton,Tanner.Appleton@2015-northstate.edu,1,0,0,555-222-4013,1,Morrill,KS,66515,0,7,1994,0,2013,2013,580,490,510,,,,,,6,3.77,8,3,4,0,0,0,0,0,,13,,
20152590N,Victor,Morris,Victor.Morris@2015-northstate.edu,1,0,1,555-222-4015,0,Leasburg,MO,65535,0,7,1994,0,2013,2013,,680,680,28,25,31,27,27,8,4,5,1,1,0,0,0,0,0,,17,,0
20121801N,Andrew,Blood,Andrew.Blood@2015-northstate.edu,1,0,0,555-222-4084,1,Baldwin City,KS,66006,0,2,1994,0,2013,2013,410,390,450,,,,,,3,2.36,53,3,3,0,0,0,0,0,,15,,
20151537N,Adam,Scott,Adam.Scott@2015-northstate.edu,1,0,0,555-222-4081,0,Willard,MO,65781,0,5,1994,0,2013,2013,,,,18,16,16,17,23,4,2.17,57,4,4,0,0,0,0,0,,14,,
20151138N,Sean,Herron,Sean.Herron@2015-northstate.edu,1,0,0,555-222-4200,0,Valley Park,MO,63088,0,7,1995,0,2013,2013,,,,29,28,31,30,28,8,3.62,27,3,4,1,0,0,0,0,,16,,0
20151219N,Rudy,Martin,Rudy.Martin@2015-northstate.edu,1,0,0,555-222-4077,0,Saint Louis,MO,63133,0,7,1994,0,2012,2013,,,,28,29,26,26,29,8,3.54,17,2,0,0,0,0,0,1,,15,,0
20451246N,Taylor,Lee,Taylor.Lee@2015-northstate.edu,1,0,0,555-222-4075,1,New Century,KS,66031,0,7,1994,0,2013,2013,650,580,650,,,,,,8,3.84,4,3,4,0,0,0,0,0,4,14,,7
20151267N,Dewan,Maxwell,Dewan.Maxwell@2015-northstate.edu,1,0,0,555-222-4107,0,Bismarck,MO,63624,0,7,1995,0,2012,2013,400,350,420,,,,,,3,2.91,51,0,0,1,0,0,0,0,,15,,
20151642N,Brandon,Grusak,Brandon.Grusak@2015-northstate.edu,1,0,0,555-222-4082,0,Gideon,MO,63848,0,7,1994,0,2013,2013,420,430,480,,,,,,4,2.56,55,2,5,0,0,0,0,0,,14,,
20151885N,Andrew,Demaree,Andrew.Demaree@2015-northstate.edu,1,0,0,555-222-4086,0,Lees Summit,MO,64064,0,7,1994,0,2013,2013,600,550,620,,,,,,7,2.36,82,3,4,0,0,0,0,0,2.7,14,,3
20151960N,Josh,Mitchell,Josh.Mitchell@2015-northstate.edu,1,0,0,555-222-4039,1,North Little Rock,AR,72124,0,7,1995,0,2013,2013,540,430,540,,,,,,6,3.28,44,3,2,0,0,0,0,0,,18,0,
20152029N,Kevin,Cervantes,Kevin.Cervantes@2015-northstate.edu,1,0,0,555-222-4203,1,Morrill,KS,66515,0,7,1995,0,2013,2013,,,,17,13,18,19,19,3,3.35,42,0,1,0,0,0,0,0,,15,0,
20152098N,James,De Loache,James.De Loache@2015-northstate.edu,1,0,0,555-222-4205,0,Kansas City,MO,64102,0,7,1995,0,2013,2013,,,,22,20,25,20,24,5,3.18,49,2,1,0,0,0,0,0,,15,,0
r23r232r32N,James,De Loache,James.De Loache@2015-northstate.edu,1,0,0,555-222-4205,0,Kansas City,MO,64102,0,7,1995,0,2013,2013,,,,22,20,25,20,24,5,3.18,49,2,1,0,0,0,0,0,,15,,0
